"All parcel data in this report is for use by the Washoe County Assessor for assessment purposes only. The summary data in this report may not be a complete representation of the parcel or of the improvements thereon. Building information, including unit counts and number of permitted units, should be verified with the appropriate building and planning agencies. Zoning information should be verified with the appropriate planning agency. All parcels are reappraised each year. ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
APN,Add Rec,Situs,Sales Date,Sale Price,Sale Verf,RecDoc,Subdivision,Year Blt,Avg Yr Blt,BldgType,Stories,Bldg SF,Grade,Beds,Full Baths,Half Baths,Heat Type,Exterior Walls,Roof Type,Gar Type,Gar Area,Bsmt Type,Bsmt Area,LUC at Sale,Zoning (codes should be verified with the zoning authority) ,Acres,Owner1,Addl Owner,Mailing1,Mailing2,City,State,Zip,PriorOwner,PriorPID,LegalDesc,TaxDist,Total Units
028-153-34,,3135 SPROUT WAY,2005-03-24 00:00:00,264500,2D,03187705,VISTA DEL ORO 5 B FR,1964,1964,Sgl Fam Res ,ONE,1405,FAIR/AVG,4,2,0,FA,SIDING,COMP SHINGLE,,0,,0,20,R1-6,0.14499999582767487,,,,,,,,,028-153-10,VISTA DEL ORO 5 B FR LT 3 BLK F,2005,1
028-161-14,,205 LENWOOD DR,2005-09-13 00:00:00,265000,2D,03276335,VISTA DEL ORO 6B,1971,1971,Sgl Fam Res ,TWO,1398,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARB,506,,0,20,R1-6,0.1379999965429306,,,,,,,,,,VISTA DEL ORO 6B LT 14 BLK L,2005,1
028-162-10,,333 EMERSON WAY,2005-05-06 00:00:00,279000,2D,03210562,VISTA DEL ORO 6B,1971,1971,Sgl Fam Res ,ONE,1562,FAIR,4,2,0,FA,SIDING,COMP SHINGLE,GARA,451,,0,20,R1-6,0.184000000357628,,,,,,,,,,VISTA DEL ORO 6B LT 10 BLK M,2005,1
028-162-23,,115 EMERSON WAY,2005-03-02 00:00:00,212500,2D,03177351,VISTA DEL ORO 6B,1971,1971,Sgl Fam Res ,ONE,1333,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,441,,0,20,R1-6,0.13199999928474426,,,,,,,,,,VISTA DEL ORO 6B LT 23 BLK M,2005,1
028-162-23,,115 EMERSON WAY,2005-05-24 00:00:00,288500,2D,03219283,VISTA DEL ORO 6B,1971,1971,Sgl Fam Res ,ONE,1333,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,441,,0,20,R1-6,0.13199999928474426,,,,,,,,,,VISTA DEL ORO 6B LT 23 BLK M,2005,1
028-163-08,,361 ABBAY WAY,2005-04-15 00:00:00,313000,2D,03199053,VISTA DEL ORO 6B,1971,1971,Sgl Fam Res ,ONE,1562,FAIR,4,2,0,FA,SIDING,COMP SHINGLE,GARA,451,,0,20,R1-6,0.14499999582767487,,,,,,,,,,VISTA DEL ORO 6-B LT 8 BLK N,2005,1
028-163-32,,312 EMERSON WAY,2005-04-29 00:00:00,263000,2D,03206309,VISTA DEL ORO 6B,1971,1971,Sgl Fam Res ,ONE,1333,FAIR,3,2,0,FA/AC,SIDING,COMP SHINGLE,GARA,441,,0,20,R1-6,0.14499999582767487,,,,,,,,,,VISTA DEL ORO 6B LT 32 BLK N,2005,1
028-171-04,,3143 N TRUCKEE LN,2005-09-13 00:00:00,296500,2D,03276148,MEADOWLANDS 1,1973,1973,Sgl Fam Res ,ONE,1350,FAIR/AVG,3,2,0,FA/AC,PLYWOOD,COMP SHINGLE,GARA,462,,0,20,R1-6,0.14499999582767487,,,,,,,,,,MEADOWLANDS 1 LT 100,2005,1
028-172-02,,3165 SHARI WAY,2005-02-16 00:00:00,295000,2D,03171108,MEADOWLANDS 1,1974,1974,Sgl Fam Res ,TWO,2128,FAIR/AVG,4,2,1,FA,HARDBOARD,COMP SHINGLE,GARA,484,,0,20,R1-6,0.143999993801117,,,,,,,,,,MEADOWLANDS 1 LT 90,2005,1
028-172-03,,3155 SHARI WAY,2005-11-14 00:00:00,300500,2D,03307395,MEADOWLANDS 1,1973,1973,Sgl Fam Res ,ONE,1435,FAIR/AVG,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,462,,0,20,R1-6,0.143999993801117,,,,,,,,,,MEADOWLANDS 1 LT 89,2005,1
028-172-09,,3144 SANDY ST,2005-11-09 00:00:00,265000,2D,03305641,MEADOWLANDS 1,1973,1973,Sgl Fam Res ,ONE,1152,FAIR/AVG,3,1,1,FA,HARDBOARD,COMP SHINGLE,GARA,462,,0,20,R1-6,0.13699999451637268,,,,,,,,,,MEADOWLANDS LT 83,2005,1
028-173-03,,3197 CRESCENT CT,2005-11-29 00:00:00,320000,2D,03314871,MEADOWLANDS SUB UNIT NO 1,1974,1974,Sgl Fam Res ,ONE,1435,FAIR/AVG,4,2,0,FA,SIDING,WOOD SHAKE,GARA,462,,0,20,R1-6,0.21799999475479126,,,,,,,,,,MEADOWLANDS  1 LT 73,2005,1
028-173-09,,3108 SALTERN WAY,2005-06-30 00:00:00,287500,2D,03239146,MEADOWLANDS 1,1974,1974,Sgl Fam Res ,ONE,1256,FAIR/AVG,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,462,,0,20,R1-6,0.13699999451637268,,,,,,,,,,MEADOWLANDS 1 LT 67,2005,1
028-173-16,,3208 SALTERN WAY,2005-03-25 00:00:00,252000,2D,03188539,MEADOWLANDS 1,1974,1974,Sgl Fam Res ,ONE,1692,FAIR/AVG,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,504,,0,20,R1-6,0.13699999451637268,,,,,,,,,,MEADOWLANDS 1 LT 60,2005,1
028-174-02,,3199 SALTERN WAY,2005-06-10 00:00:00,300000,2D,03228288,MEADOWLANDS 1,1974,1974,Sgl Fam Res ,ONE,1692,FAIR/AVG,3,2,0,FA/AC,HARDBOARD,COMP SHINGLE,GARA,504,,0,20,R1-6,0.13699999451637268,,,,,,,,,,MEADOWLANDS 1 LT 31,2005,1
028-176-06,,3171 MEADOWLANDS DR,2005-07-29 00:00:00,298000,2D,03253901,MEADOWLANDS 1,1975,1975,Sgl Fam Res ,ONE,1414,FAIR/AVG,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,462,,0,20,R1-6,0.13699999451637268,,,,,,,,,,MEADOWLANDS 1 LT 22,2005,1
028-181-24,,6 E LENWOOD DR,2005-03-31 00:00:00,259900,2D,03191817,SIERRA ESTATES 1B,1962,1962,Sgl Fam Res ,ONE,1176,FAIR,3,2,0,FA,BRICK VENEER,COMP SHINGLE,GARA,441,,0,20,R1-6,0.14499999582767487,,,,,,,,,,SIERRA ESTATES 1B LT 217 BLK 13,2005,1
028-182-10,,39 E LENWOOD DR,2005-03-31 00:00:00,235000,2D,03191871,SIERRA EST 1B,1962,1962,Sgl Fam Res ,ONE,1176,FAIR,3,2,0,FA,ASPH SHINGLE,COMP SHINGLE,,0,,0,20,R1-6,0.151999995112419,,,,,,,,,,SIERRA EST 1B LT 188 BLK 10,2005,1
028-183-10,,10 E GAULT WAY,2005-06-02 00:00:00,239900,2D,03224199,SIERRA EST 1A,1962,1962,Sgl Fam Res ,ONE,988,FAIR,3,2,0,FA,ASPH SHINGLE,COMP SHINGLE,GARA,286,,0,20,R1-6,0.151999995112419,,,,,,,,,,SIERRA EST 1A LT 176 BLK 9,2005,1
028-183-11,,6 E GAULT WAY,2005-09-14 00:00:00,232895,2D,03277177,SIERRA EST 1A,1962,1962,Sgl Fam Res ,ONE,988,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,286,,0,20,R1-6,0.151999995112419,,,,,,,,,,SIERRA EST 1A LT 177 BLK 9,2005,1
028-184-01,,3 E GAULT WAY,2005-06-28 00:00:00,275000,2D,03237715,SIERRA EST 1A,1962,1962,Sgl Fam Res ,ONE,1344,FAIR,3,2,0,FA,SIDING,COMP SHINGLE,GARA,273,,0,20,R1-6,0.178000003099442,,,,,,,,,,SIERRA EST 1A LT 156 BLK 8,2005,1
028-184-21,,8 E DEVERE WAY,2005-12-29 00:00:00,249000,2D,03330372,SIERRA EST 1A,1962,1962,Sgl Fam Res ,ONE,988,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,286,,0,20,R1-6,0.143999993801117,,,,,,,,,,SIERRA EST 1A LT 154 BLK 8,2005,1
028-185-13,,2789 TIFFANY CIR,2005-10-24 00:00:00,255000,2D,03296719,SIERRA EST 1B,1962,1962,Sgl Fam Res ,ONE,1176,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,441,,0,20,R1-6,0.194000005722046,,,,,,,,,,SIERRA EST 1B LT 109 BLK 5,2005,1
028-187-01,,180 E GAULT WAY,2005-09-27 00:00:00,269000,2D,03283347,SIERRA EST 1B,1962,1962,Sgl Fam Res ,ONE,1176,FAIR,3,2,0,FA,ASPH SHINGLE,COMP SHINGLE,GARA,441,,0,20,R1-6,0.187000006437302,,,,,,,,,,SIERRA EST 1B LT 138 BLK 7,2005,1
028-189-07,,100 E LENWOOD DR,2005-07-21 00:00:00,258000,2D,03249062,SIERRA EST 1B,1962,1962,Sgl Fam Res ,ONE,1176,FAIR,3,2,0,FA,ASPH SHINGLE,COMP SHINGLE,GARA,441,,0,20,R1-6,0.171000003814697,,,,,,,,,,SIERRA EST 1B LT 205 BLK 12,2005,1
028-193-15,,2695 PATRICE DR,2005-06-01 00:00:00,189900,2D,03223245,SPRING MANOR,1973,1973,Sgl Fam Res ,ONE,1848,FAIR/AVG,3,2,0,FA/AC,HARDBOARD,COMP SHINGLE,GARA,480,,0,20,R1-6,0.15399999916553497,,,,,,,,,,SPRING MANOR LT 18 & FR 17,2005,1
028-194-08,,365 E GAULT WAY,2005-04-28 00:00:00,265000,2D,03205595,PARKWOOD EST 2,1981,1981,Sgl Fam Res ,ONE,1156,FAIR/AVG,3,2,0,FA,HARDBOARD,WOOD SHAKE,GARA,720,,0,20,R1-6,0.212999999523163,,,,,,,,,,PARKWOOD EST 2 LT 22 BLK A,2005,1
028-194-10,,2735 TALLMAN RD,2005-01-06 00:00:00,259900,2D,03153067,PARKWOOD EST 2,1981,1987,Sgl Fam Res ,ONE,1392,FAIR/AVG,6,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,672,,0,20,R1-6,0.166999995708466,,,,,,,,,,PARKWOOD EST 2 LT 20 BLK A,2005,1
028-195-02,,2550 TALLMAN RD,2005-05-12 00:00:00,180000,2D,03212755,PARKWOOD EST 2,1981,1981,Sgl Fam Res ,ONE,1156,FAIR/AVG,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,720,,0,20,R1-6,0.158000007271767,,,,,,,,,,PARKWOOD EST 2 LT 15 BLK B,2015,1
028-195-02,,2550 TALLMAN RD,2005-07-21 00:00:00,300000,2D,03249080,PARKWOOD EST 2,1981,1981,Sgl Fam Res ,ONE,1156,FAIR/AVG,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,720,,0,20,R1-6,0.158000007271767,,,,,,,,,,PARKWOOD EST 2 LT 15 BLK B,2015,1
028-195-03,,2570 TALLMAN RD,2005-05-18 00:00:00,258000,2D,03216400,PARKWOOD EST 2,1981,1981,Sgl Fam Res ,ONE,960,FAIR/AVG,3,2,0,FA,HARDBOARD,WOOD SHAKE,GARA,474,,0,20,R1-6,0.158000007271767,,,,,,,,,,PARKWOOD EST 2 LT 14 BLK B,2015,1
028-195-08,,465 E GAULT WAY,2005-03-01 00:00:00,269000,2D,03175933,PARKWOOD EST 2,1981,1981,Sgl Fam Res ,ONE,1420,FAIR/AVG,3,2,0,FA,HARDBOARD,WOOD SHAKE,GARA,528,,0,20,R1-6,0.160999998450279,,,,,,,,,,PARKWOOD EST 2  LT 9  BLK B,2015,1
028-201-11,,660 GAULT WAY,2005-01-28 00:00:00,221000,2D,03162811,GREENBRAE TERRACE ADD 17,1961,1961,Sgl Fam Res ,ONE,1044,FAIR,3,1,0,FA/AC,ASPH SHINGLE,COMP SHINGLE,GARA,300,,0,20,R1-6,0.150000005960464,,,,,,,,,,GREENBRAE TERRACE ADD 17 LT 11 BLK 63,2005,1
028-201-21,,2915 4TH ST,2005-04-22 00:00:00,239900,2D,03202868,GREENBRAE TERRACE ADD 16,1960,1960,Sgl Fam Res ,ONE,1102,FAIR,3,1,0,FA,ASPH SHINGLE,COMP SHINGLE,GARA,500,,0,20,R1-6,0.180999994277954,,,,,,,,,,GREENBRAE TERRACE ADD 16 LT 1 BLK 63,2005,1
028-203-02,,2795 NELSON WAY,2005-04-15 00:00:00,227000,2D,03199213,GREENBRAE TERRACE ADD 17,1961,1961,Sgl Fam Res ,ONE,1044,FAIR,3,1,0,FA/AC,SIDING,COMP SHINGLE,GARA,300,,0,20,R1-6,0.148000001907349,,,,,,,,,,GREENBRAE TERRACE ADD 17 LT 16 BLK 58,2005,1
028-203-03,,2775 NELSON WAY,2005-05-25 00:00:00,205000,2D,03219586,GREENBRAE TERRACE ADD 17,1961,1965,Sgl Fam Res ,ONE,1188,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,300,,0,20,R1-6,0.141000002622604,,,,,,,,,,GREENBRAE TERRACE ADD 17 LT 15 BLK 58,2005,1
028-204-14,,2755 STINE WAY,2005-09-16 00:00:00,259900,2D,03278717,GREEN BRAE TERRACE ADD 17,1961,1961,Sgl Fam Res ,ONE,1044,FAIR,3,1,0,FA,HARDBOARD,COMP SHINGLE,GARA,300,,0,20,R1-6,0.1379999965429306,,,,,,,,,,GREEN BRAE TERRACE ADD 17 LT 14 BLK 57,2005,1
028-205-09,,2800 STINE WAY,2005-04-07 00:00:00,228000,2D,03195201,GREENBRAE TERRACE ADD 17,1961,1961,Sgl Fam Res ,ONE,1044,FAIR,3,1,0,FA,SIDING,COMP SHINGLE,GARA,300,,0,20,R1-6,0.15299999713897705,,,,,,,,,,GREENBRAE TERRACE ADD 17 LT 19 BLK 56,2005,1
028-205-10,,655 GAULT WAY,2005-04-08 00:00:00,228000,2D,03195693,GREENBRAE TERRACE ADD 17,1961,1961,Sgl Fam Res ,ONE,1044,FAIR,3,1,0,FA,SIDING,COMP SHINGLE,GARA,500,,0,20,R1-6,0.171000003814697,,,,,,,,,,GREENBRAE TERRACE ADD 17 LT 18 BLK 56,2005,1
028-211-26,,2920 4TH ST,2005-05-27 00:00:00,249000,2D,03220930,GREENBRAE TERR,1960,1960,Sgl Fam Res ,ONE,1131,FAIR,3,1,0,FA,ASPH SHINGLE,COMP SHINGLE,GARA,500,,0,20,R1-6,0.19200000166893,,,,,,,,,,GREENBRAE TERR ADD 16 AMD LT 1 BLK 62,2005,1
028-212-10,,231 GAULT WAY,2005-06-16 00:00:00,270000,2D,03230888,VISTA DEL ORO 3,1962,1962,Sgl Fam Res ,ONE,1203,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,504,,0,20,R1-6,0.151999995112419,,,,,,,,,,VISTA DEL ORO 3 LT 36 BLK D,2005,1
028-212-26,,50 DEVERE WAY,2005-06-29 00:00:00,260000,2D,03238561,VISTA DEL ORO 4,1967,1967,Sgl Fam Res ,ONE,1142,FAIR,3,2,0,FA,SIDING,COMP SHINGLE,GARA,498,,0,20,R1-6,0.1379999965429306,,,,,,,,,,VISTA DEL ORO 4 LT 20 BLK D,2005,1
028-212-27,,70 DEVERE WAY,2005-05-25 00:00:00,258000,2D,03220059,VISTA DEL ORO 4,1967,1967,Sgl Fam Res ,ONE,1190,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,518,,0,20,R1-6,0.1379999965429306,,,,,,,,,,VISTA DEL ORO 4 LT 19 BLK D,2005,1
028-212-35,,200 DEVERE WAY,2005-08-08 00:00:00,279000,2D,03257706,VISTA DEL ORO 3,1962,1962,Sgl Fam Res ,ONE,1328,FAIR,3,2,0,FA,ASPH SHINGLE,COMP SHINGLE,GARA,504,,0,20,R1-6,0.151999995112419,,,,,,,,,,VISTA DEL ORO 3 LT 11 BLK D,2005,1
028-212-36,,210 DEVERE WAY,2005-04-28 00:00:00,265000,2D,03205691,VISTA DEL ORO 3,1962,1962,Sgl Fam Res ,ONE,1328,FAIR,3,2,0,FA,SIDING,COMP SHINGLE,GARA,504,,0,20,R1-6,0.151999995112419,,,,,,,,,,VISTA DEL ORO 3 LT 10 BLK D,2005,1
028-212-37,,230 DEVERE WAY,2005-03-18 00:00:00,248500,2D,03185270,VISTA DEL ORO 3,1962,1962,Sgl Fam Res ,ONE,1203,FAIR,3,2,0,FA/AC,ASPH SHINGLE,COMP SHINGLE,GARA,504,,0,20,R1-6,0.151999995112419,,,,,,,,,,VISTA DEL ORO 3 LT 9 BLK D,2005,1
028-212-45,,380 DEVERE WAY,2005-08-22 00:00:00,275000,2D,03265053,VISTA DEL ORO 3,1962,1962,Sgl Fam Res ,ONE,1203,FAIR,3,2,0,FA,ASPH SHINGLE,COMP SHINGLE,GARA,504,,0,20,R1-6,0.13699999451637268,,,,,,,,,,VISTA DEL ORO 3 LT 1 BLK D,2005,1
028-213-23,,15 DEVERE WAY,2005-06-15 00:00:00,297000,2D,03230198,VISTA DEL ORO 4,1967,1967,Sgl Fam Res ,ONE,1142,FAIR,3,2,0,FA,ASPH SHINGLE,COMP SHINGLE,GARA,498,,0,20,R1-6,0.194000005722046,,,,,,,,,,VISTA DEL ORO 4 LT 23 BLK C,2005,1
028-213-28,,80 GALLERON WAY,2005-06-30 00:00:00,265000,2D,03239006,VISTA DEL ORO 4,1967,1967,Sgl Fam Res ,ONE,1104,FAIR,3,2,0,FA,SIDING,COMP SHINGLE,GARA,504,,0,20,R1-6,0.15299999713897705,,,,,,,,,,VISTA DEL ORO 4 LT 18 BLK C,2005,1
028-213-41,,310 GALLERON WAY,2005-06-03 00:00:00,260000,2D,03224902,VISTA DEL ORO 2,1962,1962,Sgl Fam Res ,ONE,1203,FAIR,3,2,0,FA,HARDBOARD,COMP SHINGLE,GARA,504,,0,20,R1-6,0.164000004529953,,,,,,,,,,VISTA DEL ORO 2 LT 5 BLK C,2005,1
028-221-01,,790 YORK WAY,2005-08-18 00:00:00,252900,2D,03263516,GREENBRAE TERRACE 15,1961,1961,Sgl Fam Res ,ONE,1044,FAIR,3,1,0,FA,ASPH SHINGLE,COMP SHINGLE,GARA,500,,0,20,R1-6,0.187000006437302,,,,,,,,,,GREENBRAE TERRACE 15 LT 1 BLK 58,2005,1
028-223-04,,2520 STINE WAY,2005-09-06 00:00:00,250000,2D,03273278,GREENBRAE TERRACE ADD 17,1961,1968,Sgl Fam Res ,ONE,1489,FAIR,3,1,0,FA,SIDING,COMP SHINGLE,GARA,300,,0,20,R1-6,0.1379999965429306,,,,,,,,,,GREENBRAE TERRACE ADD 17 LT 31 BLK 56,2005,1
028-223-05,,2480 STINE WAY,2005-03-08 00:00:00,221000,2D,03179851,GREENBRAE TERR  ADD 17,1961,1961,Sgl Fam Res ,ONE,1044,FAIR,3,1,0,FA,HARDBOARD,COMP SHINGLE,GARA,348,,0,20,R1-6,0.1379999965429306,,,,,,,,,,GREENBRAE TERRACE ADD 17 LT 32 BLK 56,2005,1
028-231-04,,331 MC GOLDRICK WAY,2005-07-21 00:00:00,269900,2D,03249087,VISTA DEL ORO 1,1961,1966,Sgl Fam Res ,ONE,1303,FAIR,3,1,0,FA/AC,HARDBOARD,COMP SHINGLE,GARA,315,,0,20,R1-6,0.158000007271767,,,,,,,,,,VISTA DEL ORO 1 LT 30 BLK A,2005,1
028-231-10,,231 MC GOLDRICK WAY,2005-07-19 00:00:00,285000,2D,03247627,VISTA DEL ORO 1,1961,1970,Sgl Fam Res ,ONE,1471,FAIR,4,2,0,WALL FURNACE,SIDING,COMP SHINGLE,GARA,315,,0,20,R1-6,0.164000004529953,,,,,,,,,,VISTA DEL ORO 1 LT 24 BLK A,2005,1
028-231-16,,119 MC GOLDRICK WAY,2005-05-31 00:00:00,265000,2D,03222364,VISTA DEL ORO 1,1961,1961,Sgl Fam Res ,ONE,1014,FAIR,3,2,0,WALL FURNACE,SIDING,COMP SHINGLE,GARA,483,,0,20,R1-6,0.164000004529953,,,,,,,,,,VISTA DEL ORO 1 LT 18 BLK A,2005,1
028-231-23,,15 MC GOLDRICK WAY,2005-06-07 00:00:00,252000,2D,03225817,VISTA DEL ORO 4,1965,1965,Sgl Fam Res ,TWO,1559,FAIR,4,2,1,FA,ASPH SHINGLE,COMP SHINGLE,GARA,360,,0,20,R1-6,0.180999994277954,,,,,,,,,,VISTA DEL ORO 4 LT 40 BLK A,2005,1
028-231-24,,2415 COURTLAND WAY,2005-05-23 00:00:00,269500,2D,03218466,VISTA DEL ORO 4,1969,1969,Sgl Fam Res ,ONE,1383,FAIR,3,2,0,FA,SIDING,COMP SHINGLE,,0,,0,20,R1-6,0.1899999976158142,,,,,,,,,,VISTA DEL ORO 4 LT 39 BLK A,2005,1
028-232-31,,90 MC GOLDRICK WAY,2005-08-31 00:00:00,200000,2D,03270704,VISTA DEL ORO 4,1965,1965,Sgl Fam Res ,ONE,1120,FAIR,3,2,0,FA,ASPH SHINGLE,COMP SHINGLE,GARA,504,,0,20,R1-6,0.15299999713897705,,,,,,,,,,VISTA DEL ORO 4 LT 17 BLK B,2005,1
028-232-44,,320 MC GOLDRICK WAY,2005-12-30 00:00:00,257000,2D,03330846,VISTA DEL ORO 1,1962,1962,Sgl Fam Res ,ONE,1014,FAIR,3,2,0,FA,ASPH SHINGLE,COMP SHINGLE,GARA,483,,0,20,R1-6,0.163000002503395,,,,,,,,,,VISTA DEL ORO 1 LT 4 BLK B,2005,1
028-241-10,,91 SHERIDAN WAY,2005-05-27 00:00:00,275000,2D,03221417,SIERRA EST 1A,1962,1962,Sgl Fam Res ,ONE,1176,FAIR,3,2,0,FA,HARDBOARD,WOOD SHAKE,GARA,441,,0,20,R1-6,0.178000003099442,,,,,,,,,,SIERRA EST 1A LT 45 BLK 2,2005,1
028-242-14,,2730 GROSE LN,2005-06-01 00:00:00,240000,2D,03223376,SIERRA ESTATES 1B,1962,1962,Sgl Fam Res ,ONE,988,FAIR,3,2,0,FA,SIDING,COMP SHINGLE,GARA,286,,0,20,R1-6,0.140000000596046,,,,,,,,,,SIERRA ESTATES 1B LT 132 BLK 6,2005,1
028-243-09,,2510 PROBASCO WAY,2005-05-27 00:00:00,235000,2D,03221164,SIERRA EST 1A,1962,1962,Sgl Fam Res ,ONE,988,FAIR,3,1,0,FA,ASPH SHINGLE,COMP SHINGLE,,0,,0,20,R1-6,0.171000003814697,,,,,,,,,,SIERRA EST 1A LT 88 BLK 5,2005,1
028-243-16,,2700 PROBASCO WAY,2005-11-01 00:00:00,242000,2D,03300816,SIERRA EST 1A,1962,1962,Sgl Fam Res ,ONE,988,FAIR,3,1,0,FA,SIDING,COMP SHINGLE,,0,,0,20,R1-6,0.13899999856948853,,,,,,,,,,SIERRA EST 1A LT 95 BLK 5,2005,1
028-244-15,,2570 LENNOX LN,2005-08-11 00:00:00,291000,2D,03260145,SIERRA EST 1A,1962,1962,Sgl Fam Res ,ONE,1344,FAIR,3,2,0,FA,ASPH SHINGLE,COMP SHINGLE,GARA,273,,0,20,R1-6,0.14499999582767487,,,,,,,,,,SIERRA EST 1A LT 69 BLK 4,2005,1
028-245-30,,15 E DEVERE WAY,2005-12-20 00:00:00,230000,2D,03326199,SIERRA ESTATES 1A,1962,1962,Sgl Fam Res ,ONE,988,FAIR,3,2,0,FA,ASPH SHINGLE,COMP SHINGLE,GARA,286,,0,20,R1-6,0.151999995112419,,,,,,,,,,SIERRA ESTATES 1A LT 14 BLK 1,2005,1
028-245-32,,23 E DEVERE WAY,2005-09-26 00:00:00,167000,2D,03282771,SIERRA ESTATES 1A,1962,1962,Sgl Fam Res ,ONE,988,FAIR,3,2,0,FA,ASPH SHINGLE,COMP SHINGLE,GARA,286,,0,20,R1-6,0.149000003933907,,,,,,,,,,SIERRA EST 1A LT 16 BLK 1,2005,1
028-245-34,,29 E DEVERE WAY,2005-10-27 00:00:00,240000,2D,03299210,SIERRA ESTATES 1 A,1962,1962,Sgl Fam Res ,ONE,988,FAIR,3,2,0,FA,SIDING,COMP SHINGLE,GARA,286,,0,20,R1-6,0.149000003933907,,,,,,,,,,SIERRA EST 1A LT 18 BLK 1,2005,1
028-246-15,,2600 BAXTER WAY,2005-06-09 00:00:00,279000,2D,03227747,SIERRA EST 1A,1962,1962,Sgl Fam Res ,ONE,1344,FAIR,3,2,0,FA,SIDING,COMP SHINGLE,GARA,273,,0,20,R1-6,0.1379999965429306,,,,,,,,,,SIERRA EST 1A LT 53 BLK 3,2005,1
028-261-10,,2537 JANELLE DR,2005-04-12 00:00:00,243000,2D,03196792,YORKTOWN,1972,1972,Sgl Fam Res ,TWO,1300,FAIR,4,1,1,FA,HARDBOARD,COMP SHINGLE,GARA,288,,0,20,R1-6,0.1379999965429306,,,,,,,,,,YORKTOWN LT 25,2005,1
028-262-11,,2596 JANELLE DR,2005-03-28 00:00:00,253000,2D,03189315,YORKTOWN,1972,1974,Sgl Fam Res ,TWO,1588,FAIR,4,1,1,FA,HARDBOARD,COMP SHINGLE,GARB,288,,0,20,R1-6,0.14300000667572,,,,,,,,,,YORKTOWN LT 21,2005,1
028-263-06,,2534 PATRICE DR,2005-05-23 00:00:00,270000,2D,03218419,YORKTOWN,1972,1976,Sgl Fam Res ,TWO,1734,FAIR,4,1,1,FA,HARDBOARD,COMP SHINGLE,GARA,288,,0,20,R1-6,0.13699999451637268,,,,,,,,,,YORKTOWN LT 6,2005,1
028-274-03,,440 RICHARDS WAY,2005-08-12 00:00:00,291000,2D,03260693,GREENBRAE TERRACE 14,1961,1961,Sgl Fam Res ,ONE,1196,FAIR,3,1,1,FA,ASPH SHINGLE,COMP SHINGLE,GARA,441,,0,20,R1-6,0.146999999880791,,,,,,,,,,GREENBRAE TERRACE 14 LT 3 BLK 48,2005,1
028-275-19,,695 TASKER WAY,2005-05-03 00:00:00,256000,2D,03208369,GREENBRAE TERRACE ADD 15,1960,1962,Sgl Fam Res ,ONE,1246,FAIR,3,1,0,FA,STUCCO,COMP SHINGLE,,0,,0,20,R1-6,0.14499999582767487,,,,,,,,,,GREENBRAE TERRACE ADD 15 LT 19 BLK 50,2005,1
028-276-02,,430 TASKER WAY,2005-04-08 00:00:00,182500,2D,03195733,GREENBRAE TERR ADD 15,1960,1962,Sgl Fam Res ,ONE,1284,FAIR,3,1,0,FA,ASPH SHINGLE,COMP SHINGLE,GARA,300,,0,20,R1-6,0.140000000596046,,,,,,,,,,GREENBRAE TERR ADD 15 LT 2 BLK 51,2005,1
028-276-15,,2300 NELSON WAY,2005-01-27 00:00:00,248000,2D,03161895,GREENBRAE TERRACE ADD 15,1960,1960,Sgl Fam Res ,ONE,1131,FAIR,3,1,0,FA,SIDING,COMP SHINGLE,,0,,0,20,R1-6,0.167999997735023,,,,,,,,,,GREENBRAE TERRACE LT ADD 15 LT 15 BLK 51,2005,1
